Symbol,Name,Dividend Yield ,Allocation
ECCF,Eagle Point Credit Co 8.00% Series F Cumulative Redeemable Term-Preferred Stock,8.0%,0.6%
PRIF-L,"Priority Income Fund, 6.375% Series L Cumulative Redeemable Term-Preferred Stock",6.6%,0.6%
SPLPP,"Steel Partners Holdings LP, 6.0%  Series A Cumulative Redeemable Term-Preferred Stock",6.1%,0.6%
,,,0.6%
ABR-F,Arbor Realty Trust 6.25% Series F Fixed/Float Cumulative Redeemable Perpetual Pfrd,7.2%,0.6%
AHL-D,"Aspen Insurance Holdings Ltd, 5.625% Perpetual Non-Cumulative Redeemable Preference Shares",6.8%,0.6%
ARGO-A,"Argo Group, Ltd, 7.0% Redeemable Non-Cumulative Resettable Fixed Rate Pfrd",6.9%,0.6%
ARR-C,"Armour Residential REIT, 7.00%, Series C Redeemable Cumulative Perpetual Pfrd Stock",8.0%,0.6%
ATH-D,Athene Holding Ltd. 4.875% Non-Cumulative Series D Redeemable Perpetual Preferred,6.9%,0.6%
BPYPP,"Brookfield Property Partners L.P., 6.50% Class A Cumulative Redeemable Perpetual Prfd Units",10.8%,0.6%
CHMI-A,"Cherry Hill Mortgage Invmt Corp., 8.20% Series A Cumulative Redeemable Perpetual Pfrd Stock",9.8%,0.6%
CIM-C,Chimera Invmt. Corp. 7.75% Series C Fixed/Float Cumulative Redeemable Perpetual Pfrd Stock,8.4%,0.6%
CIM-D,Chimera Invmt. Corp. 8.0% Series D Fixed/Float Cumulative Redeemable Perpetual Pfrd Stock,10.1%,0.6%
CMRE-C,"Costamare, Inc. 8.50% Series C Cumulative Redeemable Perpetual Pfrd Shares",8.2%,0.6%
CODI-C,"Compass Diversified Holdings, 7.875% Series C Cumulative Redeemable Perpetual Pfrd Shares",9.9%,0.6%
DBRG-H,"DigitalBridge, 7.125% Series H Cumulative Redeemable Perpetual Preferred Stock",8.1%,0.6%
DRH-A,DiamondRock Hospitality Co. 8.25% Series A Cumulative Redeemable Perpetual Pfrd Stock,8.2%,0.6%
DSX-B,"Diana Shipping, 8.875% Series B Cumulative Redeemable Perpetual Preferred Stock",8.5%,0.6%
EBGEF,"Enbridge Inc. Series 5, Reset-Rate Cumulative Redeemable Perpetual Preferred",6.9%,0.6%
EPR-C,"EPR Properties, 5.75% Series C Cumulative Convertible Preferred",6.1%,0.6%
ET-I,"Energy Transfer LP, Series I, Cumulative Perpetual Preferred Units",7.4%,0.6%
FTAIN,"FTAI Aviation Ltd, Series C Reset-Rate Cumulative Preferred",8.1%,0.6%
GDV-K,"Gabelli Dividend & Income Trust, 4.25% Series K Cumulative Redeemable Perpetual Pfrd Stock",5.7%,0.6%
GLP-B,"Global Partners LP, 9.50% Series B Redeemable Cumulative Redeemable Perpetual Pfrd Units",9.2%,0.6%
GMLPF,"Golar LNG Partners LP, 8.75% Series A Cumulative Redeemable Perpetual Pfrd Shares",0.0%,0.6%
GMRE-A,"Global Medical REIT, 7.50% Series A Cumulative Redeemable Perpetual Preferred",7.6%,0.6%
GNL-A,"Global Net Lease, 7.25% Series A Cumulative Redeemable Perpetual Preferred",7.9%,0.6%
GOODN,Gladstone Commercial Corp 6.625% Series E Cumulative Redeemable Perpetual Pfrd,7.5%,0.6%
GSL-B,"Global Ship Lease, 8.75% Series B Cumulative Redeemable Perpetual Preferred Shares",8.2%,0.6%
HFRO-B,"Highland Income Fund, 5.375% Series B Cumulative Preferred Shares",8.1%,0.6%
