transaction_id,date,account,counterparty,category,subcategory,description,amount,inflow,outflow,currency,payment_method,reference,tags,cleared,reconciled,notes,balance
T00001,2025-01-01,Checking,Landlord LLC,Expense,Rent,Monthly rent Jan 2025,-1800.0,0.0,1800.0,USD,ACH,REF-489713,recurring|housing,True,True,,700.0
T00034,2025-01-01,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-51.63,0.0,51.63,USD,Debit Card,REF-195528,local|food,True,True,,648.3699999999999
T00035,2025-01-02,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-96.59,0.0,96.59,USD,Debit Card,REF-750122,necessity|food,True,True,,551.78
T00036,2025-01-02,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-48.61,0.0,48.61,USD,Debit Card,REF-249592,necessity|food,True,True,,503.1700000000001
T00037,2025-01-02,Credit Card,Airline,Expense,Travel,Airline charge,-228.54,0.0,228.54,USD,Credit Card,REF-963722,travel,True,True,,-228.54
T00007,2025-01-03,Checking,My Savings,Transfer,Transfer Out,Automatic savings transfer Jan 2025,-500.0,0.0,500.0,USD,Online Transfer,TRF-590885,recurring|savings,True,True,,3.1700000000000728
T00038,2025-01-03,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-206205,recurring|subscription,False,False,,-238.53
T00008,2025-01-03,Savings,My Checking,Transfer,Transfer In,Automatic savings transfer Jan 2025,500.0,500.0,0.0,USD,Online Transfer,TRF-590885,recurring|savings,True,True,,10500.0
T00039,2025-01-04,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-71.98,0.0,71.98,USD,Debit Card,REF-917721,transport|commute,True,False,,-68.80999999999995
T00004,2025-01-05,Checking,City Electric,Expense,Utilities,Electricity bill Jan 2025,-120.0,0.0,120.0,USD,ACH,REF-785024,recurring|utilities,True,True,,-188.80999999999995
T00040,2025-01-05,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-73.01,0.0,73.01,USD,Debit Card,REF-171328,transport|commute,True,True,,-261.82000000000016
T00041,2025-01-05,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-84.16,0.0,84.16,USD,Debit Card,REF-186751,transport|commute,True,True,,-345.98
T00042,2025-01-05,Credit Card,Airline,Expense,Travel,Airline charge,-328.52,0.0,328.52,USD,Credit Card,REF-375360,travel,True,True,,-567.05
T00043,2025-01-05,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-194.46,0.0,194.46,USD,Credit Card,REF-377800,discretionary|shopping,True,True,,-761.51
T00044,2025-01-06,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-41.28,0.0,41.28,USD,Debit Card,REF-781738,local|food,True,True,,-387.2600000000002
T00205,2025-01-06,Checking,Retailer Refund,Refund,Return,Refund for returned item,45.0,45.0,0.0,USD,ACH,REF-876487,refund|one-time,True,True,,-342.2600000000002
T00045,2025-01-06,Credit Card,Airline,Expense,Travel,Airline charge,-134.98,0.0,134.98,USD,Credit Card,REF-694538,travel,True,True,,-896.49
T00046,2025-01-07,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-31.51,0.0,31.51,USD,Credit Card,REF-193062,transport,True,False,,-928.0
T00047,2025-01-07,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-153.64,0.0,153.64,USD,Credit Card,REF-365277,discretionary|shopping,True,True,,-1081.6399999999999
T00048,2025-01-09,Checking,Restaurant,Expense,Dining,Restaurant purchase,-53.94,0.0,53.94,USD,Debit Card,REF-348262,discretionary|dining,True,True,,-396.2000000000003
T00049,2025-01-09,Checking,Pharmacy,Expense,Healthcare,Pharmacy purchase,-34.54,0.0,34.54,USD,Debit Card,REF-537992,health|personal,True,True,,-430.74000000000024
T00050,2025-01-09,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-81.4,0.0,81.4,USD,Credit Card,REF-526139,discretionary|shopping,True,True,,-1163.04
T00009,2025-01-10,Checking,Affinity Card Services,Transfer,Credit Card Payment,Credit card payment Jan 2025,-1200.0,0.0,1200.0,USD,ACH,CCPAY-499072,recurring|debt,True,True,,-1630.7399999999998
T00051,2025-01-10,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-28.35,0.0,28.35,USD,Debit Card,REF-495019,necessity|food,True,True,,-1659.0900000000001
T00052,2025-01-10,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-46.74,0.0,46.74,USD,Debit Card,REF-699389,necessity|food,True,True,,-1705.83
T00010,2025-01-10,Credit Card,From Checking,Transfer,Payment Received,Payment received Jan 2025,1200.0,1200.0,0.0,USD,ACH,CCPAY-499072,recurring|debt,True,False,,36.960000000000036
T00053,2025-01-10,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-22.69,0.0,22.69,USD,Credit Card,REF-944884,discretionary|entertainment,True,True,,14.270000000000035
T00054,2025-01-10,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-16.09,0.0,16.09,USD,Credit Card,REF-791781,discretionary|entertainment,True,True,,-1.8199999999999648
T00005,2025-01-12,Checking,FiberNet ISP,Expense,Utilities,Internet bill Jan 2025,-75.0,0.0,75.0,USD,ACH,REF-264294,recurring|utilities,True,True,,-1780.83
T00055,2025-01-12,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-22.84,0.0,22.84,USD,Credit Card,REF-966889,transport,True,True,,-24.659999999999965
T00056,2025-01-14,Checking,Restaurant,Expense,Dining,Restaurant purchase,-42.46,0.0,42.46,USD,Debit Card,REF-992243,discretionary|dining,True,True,,-1823.29
T00057,2025-01-14,Checking,Grocery Mart,Expense,Groceries,Grocery Mart purchase,-50.51,0.0,50.51,USD,Debit Card,REF-942438,necessity|food,True,True,,-1873.8000000000002
T00058,2025-01-14,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-43.67,0.0,43.67,USD,Credit Card,REF-993137,transport,True,True,,-68.32999999999997
T00059,2025-01-14,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-45.95,0.0,45.95,USD,Credit Card,REF-119902,discretionary|entertainment,True,True,,-114.27999999999997
T00002,2025-01-15,Checking,Employer Inc.,Income,Salary,Direct deposit Jan 2025 - 1st half,3800.0,3800.0,0.0,USD,ACH,REF-872737,recurring|payroll,True,True,,1926.1999999999998
T00060,2025-01-15,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-44.77,0.0,44.77,USD,Debit Card,REF-762954,local|food,True,True,,1881.4299999999998
T00061,2025-01-15,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-26.81,0.0,26.81,USD,Debit Card,REF-772109,local|food,True,True,,1854.62
T00062,2025-01-17,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-21.9,0.0,21.9,USD,Debit Card,REF-747933,local|food,True,True,,1832.7199999999998
T00063,2025-01-17,Checking,Restaurant,Expense,Dining,Restaurant purchase,-36.79,0.0,36.79,USD,Debit Card,REF-887104,discretionary|dining,True,True,,1795.9299999999998
T00064,2025-01-18,Checking,Pharmacy,Expense,Healthcare,Pharmacy purchase,-35.04,0.0,35.04,USD,Debit Card,REF-256850,health|personal,True,True,,1760.8899999999999
T00065,2025-01-18,Checking,Fuel Station,Expense,Fuel,Fuel Station purchase,-37.91,0.0,37.91,USD,Debit Card,REF-306690,transport|commute,True,True,,1722.98
T00066,2025-01-19,Checking,Pharmacy,Expense,Healthcare,Pharmacy purchase,-44.71,0.0,44.71,USD,Debit Card,REF-877882,health|personal,True,True,,1678.27
T00067,2025-01-19,Credit Card,Rideshare,Expense,Transport,Rideshare charge,-36.62,0.0,36.62,USD,Credit Card,REF-490451,transport,True,True,,-150.89999999999998
T00068,2025-01-19,Credit Card,Music Service,Expense,Subscriptions,Music Service charge,-9.99,0.0,9.99,USD,Credit Card,REF-211378,recurring|subscription,True,True,,-160.89
T00006,2025-01-20,Checking,Municipal Water,Expense,Utilities,Water/Sewer bill Jan 2025,-48.0,0.0,48.0,USD,ACH,REF-934087,recurring|utilities,True,True,,1630.27
T00069,2025-01-20,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-79.09,0.0,79.09,USD,ATM,REF-370853,cash,True,False,,1551.1799999999998
T00070,2025-01-20,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-62.92,0.0,62.92,USD,ATM,REF-637241,cash,True,True,,1488.26
T00071,2025-01-20,Credit Card,Online Retailer,Expense,Shopping,Online Retailer charge,-165.81,0.0,165.81,USD,Credit Card,REF-773942,discretionary|shopping,True,True,,-326.7
T00072,2025-01-21,Checking,ATM Withdrawal,Expense,Cash,ATM Withdrawal purchase,-117.3,0.0,117.3,USD,ATM,REF-764492,cash,True,False,,1370.96
T00073,2025-01-21,Credit Card,Bookstore,Expense,Education,Bookstore charge,-50.79,0.0,50.79,USD,Credit Card,REF-697204,education,True,True,,-377.49
T00074,2025-01-21,Credit Card,Movie Theater,Expense,Entertainment,Movie Theater charge,-43.52,0.0,43.52,USD,Credit Card,REF-198229,discretionary|entertainment,True,True,,-421.01
T00075,2025-01-22,Checking,Farmer's Market,Expense,Groceries,Farmer's Market purchase,-42.27,0.0,42.27,USD,Debit Card,REF-577692,local|food,True,True,,1328.69
T00076,2025-01-23,Checking,Pharmacy,Expense,Healthcare,Pharmacy purchase,-28.71,0.0,28.71,USD,Debit Card,REF-966352,health|personal,True,True,,1299.98
